Image,Caption
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A girl wearing a yellow shirt and sunglasses smiles .
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A man sleeps under a blanket on a city street .
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A woman plays with long red ribbons in an empty square .
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,Chinese market street in the winter time .
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A man and woman look back at the camera while standing in front of a red art structure .
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg,A little boy shakes the snow off of a tree .
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg,The kid is on a float in the snow .
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg,A crowd of people at an outdoor event
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg,A man riding a motorcycle is performing a trick at a track .
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg,A man riding a blue motorcycle jumps over a ramp .
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,Close-up of dog in profile with mouth open .
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,Two brown dogs playfully fight in the snow .
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,A dog gets on a trampoline .
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,A jogger with a dog approaches a ladder truck .
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg,A white dog jumps to catch a blue ball in a living room .
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg,A young boy kicks a soccer ball while six others play but are dressed as referee .
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg,Two little girls dance on a hardwood floor in the house .
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg,Large dog plays with two smaller dogs on grass .
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg,Two beige dogs are playing in the grass near a doghouse .
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg,Three dogs are playing in a field .
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,A dog rolling in the grass .
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,A small brown and white dog running through tall grass .
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,A brown dog with a tennis ball its mouth rolling on its back on a grassy surface .
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,Two dogs are playing together outside .
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,"A white dog runs in the grass ,"
http://134.100.15.200/flickr8k/Images/1122944218_8eb3607403.jpg,A woman holding a little girls hand is pointing to something trying to show her .
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg,A brown dog shaking off water .
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg,Brown and white dog jumping over a low rail with a tennis ball in his mouth .
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg,A boy jumps from one bed to another .
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg,A child jumping on a tennis court .
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg,"Laying on stones , a girl with messy hair has her head on the boy laying next to her ."
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg,"A man in grey on a rocky cliff , overlooking the mountains ."
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg,A man with sunglasses and a woman with a hat are in front of a car .
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg,A red car parked next to a cow in a field .
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,Three people and a sled .
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,Four people climbing a hill in the snow .
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,A man jumps while snow skiing .
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,A child sleds over a mound of snow as others watch him .
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,A man at a rodeo is thrown off a horse .
http://134.100.15.200/flickr8k/Images/1167669558_87a8a467d6.jpg,A girl wearing a yellow shirt and sunglasses smiles .
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg,a little girl kicks into the air .
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg,A little girl runs on the wet sand near the ocean .
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg,A dog is running along the beach beside the ocean .
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,A group of people walking a city street in warm weather .
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,People waiting to cross the street in front of a pharmacy with lit up sign .
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,A man in a white uniform jumps while holding a basketball as another in blue blocks him .
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,Two men walk through a city with words on the street .
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,A woman writing while standing by men .
http://134.100.15.200/flickr8k/Images/1220401002_3f44b1f3f7.jpg,A small dogs ears stick up as it runs in the grass .
http://134.100.15.200/flickr8k/Images/1220401002_3f44b1f3f7.jpg,"A dog in a grassy field , looking up ."
http://134.100.15.200/flickr8k/Images/1220401002_3f44b1f3f7.jpg,Two woman and a child look at each other while a night party scene goes on behind them .
http://134.100.15.200/flickr8k/Images/1224851143_33bcdd299c.jpg,A little boy is jumping into an outdoor kiddie pool
http://134.100.15.200/flickr8k/Images/1224851143_33bcdd299c.jpg,A little boy is jumping out of the pool .
http://134.100.15.200/flickr8k/Images/1237985362_dbafc59280.jpg,A little boy is jumping into an outdoor kiddie pool
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,A young child with a dirty shirt is standing on a playground
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,Three women are posing together in front of a Christmas tree .
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,A happy child dangling from playground equipment smiles at the camera .
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,An older couple posing in front of a fountain for a picture
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,A crowd of people at an outdoor event
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,a young man jumping a back flip off of a concrete wall .
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,A man and a woman are walking past a car with a fancy symbol on the front .
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,A woman is reading literature and sitting on the front stoop of a building .
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A man wearing a dark blue hat sits on the ground and leans against a building .
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A young child is riding a purple bike .
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A kid in a blue top leaps into a raked pile of leaves in front of trees .
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A little boy with a blue helmet rides his bike with his feet on the handlebars .
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A cyclist in a helmet and yellow jersey .
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,A furry dog attempts to dry itself by shaking the water off its coat .
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,A brown dog shaking off water .
