image,caption,rating
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A girl wearing a yellow shirt and sunglasses smiles .,1.572676
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A man sleeps under a blanket on a city street .,1.6145574
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A woman plays with long red ribbons in an empty square .,1.9625897
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,Chinese market street in the winter time .,1.1157255
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A man and woman look back at the camera while standing in front of a red art structure .,1.1349635
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg,A little boy shakes the snow off of a tree .,2.3720953
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg,The kid is on a float in the snow .,2.124006
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg,A crowd of people at an outdoor event,1.7407935
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg,A man riding a motorcycle is performing a trick at a track .,1.1936936
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg,A man riding a blue motorcycle jumps over a ramp .,1.8496413
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,Close-up of dog in profile with mouth open .,2.1259668
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,Two brown dogs playfully fight in the snow .,1.1244226
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,A dog gets on a trampoline .,2.3008513
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,A jogger with a dog approaches a ladder truck .,1.1254786
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg,A white dog jumps to catch a blue ball in a living room .,1.1262865
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg,A young boy kicks a soccer ball while six others play but are dressed as referee .,1.9868387
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg,Two little girls dance on a hardwood floor in the house .,2.5643623
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg,Large dog plays with two smaller dogs on grass .,3.2264428
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg,Two beige dogs are playing in the grass near a doghouse .,1.1389198
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg,Three dogs are playing in a field .,1.7399356
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,A dog rolling in the grass .,3.7969818
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,A small brown and white dog running through tall grass .,4.017203
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,A brown dog with a tennis ball its mouth rolling on its back on a grassy surface .,3.7249508
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,Two dogs are playing together outside .,1.9153712
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,"A white dog runs in the grass ,",3.7013118
http://134.100.15.200/flickr8k/Images/1122944218_8eb3607403.jpg,A woman holding a little girls hand is pointing to something trying to show her .,2.4921112
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg,A brown dog shaking off water .,3.8853903
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg,Brown and white dog jumping over a low rail with a tennis ball in his mouth .,1.5231414
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg,A boy jumps from one bed to another .,4.073459
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg,A child jumping on a tennis court .,1.4137516
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg,"Laying on stones , a girl with messy hair has her head on the boy laying next to her .",2.078695
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg,"A man in grey on a rocky cliff , overlooking the mountains .",2.5011015
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg,A man with sunglasses and a woman with a hat are in front of a car .,2.3352764
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg,A red car parked next to a cow in a field .,1.1632358
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,Three people and a sled .,3.7398129
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,Four people climbing a hill in the snow .,3.6027265
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,A man jumps while snow skiing .,1.9065573
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,A child sleds over a mound of snow as others watch him .,3.5376256
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,A man at a rodeo is thrown off a horse .,1.1245339
http://134.100.15.200/flickr8k/Images/1167669558_87a8a467d6.jpg,A girl wearing a yellow shirt and sunglasses smiles .,2.456437
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg,a little girl kicks into the air .,3.731164
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg,A little girl runs on the wet sand near the ocean .,4.076378
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg,A dog is running along the beach beside the ocean .,2.436025
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,A group of people walking a city street in warm weather .,4.0784154
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,People waiting to cross the street in front of a pharmacy with lit up sign .,3.2006989
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,A man in a white uniform jumps while holding a basketball as another in blue blocks him .,1.1244822
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,Two men walk through a city with words on the street .,2.3683314
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,A woman writing while standing by men .,3.6127253
http://134.100.15.200/flickr8k/Images/1220401002_3f44b1f3f7.jpg,A small dogs ears stick up as it runs in the grass .,1.1177593
http://134.100.15.200/flickr8k/Images/1220401002_3f44b1f3f7.jpg,"A dog in a grassy field , looking up .",1.1363616
http://134.100.15.200/flickr8k/Images/1220401002_3f44b1f3f7.jpg,Two woman and a child look at each other while a night party scene goes on behind them .,3.4588575
http://134.100.15.200/flickr8k/Images/1224851143_33bcdd299c.jpg,A little boy is jumping into an outdoor kiddie pool,2.3623729
http://134.100.15.200/flickr8k/Images/1224851143_33bcdd299c.jpg,A little boy is jumping out of the pool .,1.3600916
http://134.100.15.200/flickr8k/Images/1237985362_dbafc59280.jpg,A little boy is jumping into an outdoor kiddie pool,2.3525538
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,A young child with a dirty shirt is standing on a playground,2.6618881
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,Three women are posing together in front of a Christmas tree .,1.3920823
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,A happy child dangling from playground equipment smiles at the camera .,2.8657699
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,An older couple posing in front of a fountain for a picture,1.2314243
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,A crowd of people at an outdoor event,3.0463762
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,a young man jumping a back flip off of a concrete wall .,1.1181507
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,A man and a woman are walking past a car with a fancy symbol on the front .,1.1241454
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,A woman is reading literature and sitting on the front stoop of a building .,3.0323663
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A man wearing a dark blue hat sits on the ground and leans against a building .,1.1817633
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A young child is riding a purple bike .,2.8031757
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A kid in a blue top leaps into a raked pile of leaves in front of trees .,1.1268036
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A little boy with a blue helmet rides his bike with his feet on the handlebars .,2.4509778
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A cyclist in a helmet and yellow jersey .,4.106155
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,A furry dog attempts to dry itself by shaking the water off its coat .,1.8293266
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,A brown dog shaking off water .,1.3495758
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,The large brown dog is chasing after the little brown dog .,1.1998761
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,A dog running with a blue toy in its mouth .,1.3905764
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,Two dogs run down a dirt path in the forest .,2.0312696
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,"The guy in the blue and white jersey is running , and the guy in the red and white jersey is falling .",1.7003995
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,"A dog in a grassy field , looking up .",1.3870761
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,A dog fetches a ball in a field .,1.1385943
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,A group of five adults stand posing in front of buildings .,1.328244
http://134.100.15.200/flickr8k/Images/127490019_7c5c08cb11.jpg,A group of five adults stand posing in front of buildings .,1.1177382
http://134.100.15.200/flickr8k/Images/127490019_7c5c08cb11.jpg,People are standing around a scenic lookout on a sunny day .,3.2393556
http://134.100.15.200/flickr8k/Images/127490019_7c5c08cb11.jpg,A woman holds a fat baby with sunglasses and a denim hat .,1.4375522
http://134.100.15.200/flickr8k/Images/1282392036_5a0328eb86.jpg,A woman with holding a young girl playing with bubbles at a picnic .,2.7460957
http://134.100.15.200/flickr8k/Images/1282392036_5a0328eb86.jpg,Little girl playing on a scooter in her house .,1.5282531
http://134.100.15.200/flickr8k/Images/1282392036_5a0328eb86.jpg,A woman next to a dog which is running an obstacle course .,1.5136404
http://134.100.15.200/flickr8k/Images/1282392036_5a0328eb86.jpg,A child in Hawaiian clothing jumps and poses in a low cut yard nearby a fence and building .,1.1618584
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,A woman holding a black leash and a man looking down .,1.6744074
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,Two black dogs run through sand .,3.3911362
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,A person riding a snowboard jumps high over the snowy hill .,1.3007593
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,People are watching a snowboarder perform a trick in the air .,1.1420027
http://134.100.15.200/flickr8k/Images/1287073593_f3d2a62455.jpg,An airborne dog on a leash with a woman .,3.0161667
http://134.100.15.200/flickr8k/Images/1287475186_2dee85f1a5.jpg,Two black dogs are dog paddling in a sparkling blue pool .,1.1207561
