image,caption,rating
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, A girl wearing a yellow shirt and sunglasses smiles .,1.5723071
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, A man sleeps under a blanket on a city street .,1.6145002
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, A woman plays with long red ribbons in an empty square .,1.9623883
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, Chinese market street in the winter time .,1.1157255
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, A man and woman look back at the camera while standing in front of a red art structure .,1.13498
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg, A little boy shakes the snow off of a tree .,2.3722801
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg, The kid is on a float in the snow .,2.1234822
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg, A crowd of people at an outdoor event,1.7406862
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg, A man riding a motorcycle is performing a trick at a track .,1.1936833
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg, A man riding a blue motorcycle jumps over a ramp .,1.8490973
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg, Close-up of dog in profile with mouth open .,2.1265337
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg, Two brown dogs playfully fight in the snow .,1.1244311
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg, A dog gets on a trampoline .,2.3009372
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg, A jogger with a dog approaches a ladder truck .,1.1254566
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg, A white dog jumps to catch a blue ball in a living room .,1.1262764
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg, A young boy kicks a soccer ball while six others play but are dressed as referee .,1.9865446
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg, Two little girls dance on a hardwood floor in the house .,2.564225
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg, Large dog plays with two smaller dogs on grass .,3.226496
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg, Two beige dogs are playing in the grass near a doghouse .,1.1389127
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg, Three dogs are playing in a field .,1.7399307
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg, A dog rolling in the grass .,3.7971442
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg, A small brown and white dog running through tall grass .,4.017503
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg, A brown dog with a tennis ball its mouth rolling on its back on a grassy surface .,3.7251475
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg, Two dogs are playing together outside .,1.9160101
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg," "" A white dog runs in the grass ",3.7961512
http://134.100.15.200/flickr8k/Images/1122944218_8eb3607403.jpg, A woman holding a little girls hand is pointing to something trying to show her .,2.4922075
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg, A brown dog shaking off water .,3.885559
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg, Brown and white dog jumping over a low rail with a tennis ball in his mouth .,1.5234926
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg, A boy jumps from one bed to another .,4.0733175
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg, A child jumping on a tennis court .,1.4138105
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg," ""Laying on stones ",1.2504293
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg," "" A man in grey on a rocky cliff ",2.8228588
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg, A man with sunglasses and a woman with a hat are in front of a car .,2.335228
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg, A red car parked next to a cow in a field .,1.1632155
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, Three people and a sled .,3.739774
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, Four people climbing a hill in the snow .,3.6026316
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, A man jumps while snow skiing .,1.9063896
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, A child sleds over a mound of snow as others watch him .,3.5377352
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, A man at a rodeo is thrown off a horse .,1.1245476
http://134.100.15.200/flickr8k/Images/1167669558_87a8a467d6.jpg, A girl wearing a yellow shirt and sunglasses smiles .,2.4561968
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg, a little girl kicks into the air .,3.731028
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg, A little girl runs on the wet sand near the ocean .,4.076372
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg, A dog is running along the beach beside the ocean .,2.435707
