image,caption,rating
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, A girl wearing a yellow shirt and sunglasses smiles .,1.3391367
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, A man sleeps under a blanket on a city street .,1.328296
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, A woman plays with long red ribbons in an empty square .,1.5486702
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, Chinese market street in the winter time .,1.3178968
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg, A man and woman look back at the camera while standing in front of a red art structure .,1.2930564
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg, A little boy shakes the snow off of a tree .,1.9191489
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg, The kid is on a float in the snow .,1.8956935
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg, A crowd of people at an outdoor event,1.8942934
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg, A man riding a motorcycle is performing a trick at a track .,1.3637774
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg, A man riding a blue motorcycle jumps over a ramp .,1.375938
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg, Close-up of dog in profile with mouth open .,2.4244556
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg, Two brown dogs playfully fight in the snow .,1.4728091
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg, A dog gets on a trampoline .,1.8127602
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg, A jogger with a dog approaches a ladder truck .,1.3506582
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg, A white dog jumps to catch a blue ball in a living room .,1.3169824
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg, A young boy kicks a soccer ball while six others play but are dressed as referee .,1.5143996
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg, Two little girls dance on a hardwood floor in the house .,1.63588
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg, Large dog plays with two smaller dogs on grass .,2.4650376
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg, Two beige dogs are playing in the grass near a doghouse .,1.8590631
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg, Three dogs are playing in a field .,2.5663002
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg, A dog rolling in the grass .,2.8845758
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg, A small brown and white dog running through tall grass .,2.8609247
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg, A brown dog with a tennis ball its mouth rolling on its back on a grassy surface .,2.5295684
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg, Two dogs are playing together outside .,2.404667
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg," "" A white dog runs in the grass ",3.3068783
http://134.100.15.200/flickr8k/Images/1122944218_8eb3607403.jpg, A woman holding a little girls hand is pointing to something trying to show her .,2.5154583
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg, A brown dog shaking off water .,3.2233472
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg, Brown and white dog jumping over a low rail with a tennis ball in his mouth .,1.9210782
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg, A boy jumps from one bed to another .,3.2470465
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg, A child jumping on a tennis court .,2.184618
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg," ""Laying on stones ",1.3821973
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg," "" A man in grey on a rocky cliff ",1.8766463
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg, A man with sunglasses and a woman with a hat are in front of a car .,1.8134289
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg, A red car parked next to a cow in a field .,1.3232186
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, Three people and a sled .,3.3321478
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, Four people climbing a hill in the snow .,2.2596726
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, A man jumps while snow skiing .,1.4291971
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, A child sleds over a mound of snow as others watch him .,2.0102825
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg, A man at a rodeo is thrown off a horse .,1.3111614
http://134.100.15.200/flickr8k/Images/1167669558_87a8a467d6.jpg, A girl wearing a yellow shirt and sunglasses smiles .,1.8801725
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg, a little girl kicks into the air .,2.9320645
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg, A little girl runs on the wet sand near the ocean .,3.1407561
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg, A dog is running along the beach beside the ocean .,2.0360336
