image,caption,rating
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A girl wearing a yellow shirt and sunglasses smiles .,1.3391383
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A man sleeps under a blanket on a city street .,1.3283151
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A woman plays with long red ribbons in an empty square .,1.5488495
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,Chinese market street in the winter time .,1.3178531
http://134.100.15.200/flickr8k/Images/1056338697_4f7d7ce270.jpg,A man and woman look back at the camera while standing in front of a red art structure .,1.2930532
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg,A little boy shakes the snow off of a tree .,1.9192123
http://134.100.15.200/flickr8k/Images/106490881_5a2dd9b7bd.jpg,The kid is on a float in the snow .,1.8956757
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg,A crowd of people at an outdoor event,1.8940461
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg,A man riding a motorcycle is performing a trick at a track .,1.3637737
http://134.100.15.200/flickr8k/Images/1082379191_ec1e53f996.jpg,A man riding a blue motorcycle jumps over a ramp .,1.3759512
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,Close-up of dog in profile with mouth open .,2.4243937
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,Two brown dogs playfully fight in the snow .,1.4729593
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,A dog gets on a trampoline .,1.812784
http://134.100.15.200/flickr8k/Images/1084040636_97d9633581.jpg,A jogger with a dog approaches a ladder truck .,1.3506868
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg,A white dog jumps to catch a blue ball in a living room .,1.3169816
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg,A young boy kicks a soccer ball while six others play but are dressed as referee .,1.514363
http://134.100.15.200/flickr8k/Images/1096395242_fc69f0ae5a.jpg,Two little girls dance on a hardwood floor in the house .,1.6356133
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg,Large dog plays with two smaller dogs on grass .,2.46492
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg,Two beige dogs are playing in the grass near a doghouse .,1.8596472
http://134.100.15.200/flickr8k/Images/1107246521_d16a476380.jpg,Three dogs are playing in a field .,2.5661254
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,A dog rolling in the grass .,2.8844223
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,A small brown and white dog running through tall grass .,2.8605726
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,A brown dog with a tennis ball its mouth rolling on its back on a grassy surface .,2.529305
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,Two dogs are playing together outside .,2.4044821
http://134.100.15.200/flickr8k/Images/1119015538_e8e796281e.jpg,"A white dog runs in the grass ,",3.4090254
http://134.100.15.200/flickr8k/Images/1122944218_8eb3607403.jpg,A woman holding a little girls hand is pointing to something trying to show her .,2.5154734
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg,A brown dog shaking off water .,3.2236104
http://134.100.15.200/flickr8k/Images/1131800850_89c7ffd477.jpg,Brown and white dog jumping over a low rail with a tennis ball in his mouth .,1.9208193
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg,A boy jumps from one bed to another .,3.2472417
http://134.100.15.200/flickr8k/Images/1131932671_c8d17751b3.jpg,A child jumping on a tennis court .,2.1845572
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg,"Laying on stones , a girl with messy hair has her head on the boy laying next to her .",1.3617071
http://134.100.15.200/flickr8k/Images/113678030_87a6a6e42e.jpg,"A man in grey on a rocky cliff , overlooking the mountains .",1.7572324
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg,A man with sunglasses and a woman with a hat are in front of a car .,1.8133479
http://134.100.15.200/flickr8k/Images/114051287_dd85625a04.jpg,A red car parked next to a cow in a field .,1.3232163
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,Three people and a sled .,3.3321488
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,Four people climbing a hill in the snow .,2.259766
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,A man jumps while snow skiing .,1.4292668
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,A child sleds over a mound of snow as others watch him .,2.0101702
http://134.100.15.200/flickr8k/Images/115684808_cb01227802.jpg,A man at a rodeo is thrown off a horse .,1.3111358
http://134.100.15.200/flickr8k/Images/1167669558_87a8a467d6.jpg,A girl wearing a yellow shirt and sunglasses smiles .,1.8803481
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg,a little girl kicks into the air .,2.9321644
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg,A little girl runs on the wet sand near the ocean .,3.1410475
http://134.100.15.200/flickr8k/Images/1174525839_7c1e6cfa86.jpg,A dog is running along the beach beside the ocean .,2.0359619
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,A group of people walking a city street in warm weather .,3.7302814
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,People waiting to cross the street in front of a pharmacy with lit up sign .,2.832233
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,A man in a white uniform jumps while holding a basketball as another in blue blocks him .,1.2778645
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,Two men walk through a city with words on the street .,1.6526675
http://134.100.15.200/flickr8k/Images/1174629344_a2e1a2bdbf.jpg,A woman writing while standing by men .,2.5212672
http://134.100.15.200/flickr8k/Images/1220401002_3f44b1f3f7.jpg,A small dogs ears stick up as it runs in the grass .,1.3623643
http://134.100.15.200/flickr8k/Images/1220401002_3f44b1f3f7.jpg,"A dog in a grassy field , looking up .",1.3179351
http://134.100.15.200/flickr8k/Images/1220401002_3f44b1f3f7.jpg,Two woman and a child look at each other while a night party scene goes on behind them .,1.8023205
http://134.100.15.200/flickr8k/Images/1224851143_33bcdd299c.jpg,A little boy is jumping into an outdoor kiddie pool,1.6792101
http://134.100.15.200/flickr8k/Images/1224851143_33bcdd299c.jpg,A little boy is jumping out of the pool .,1.4018148
http://134.100.15.200/flickr8k/Images/1237985362_dbafc59280.jpg,A little boy is jumping into an outdoor kiddie pool,1.3610368
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,A young child with a dirty shirt is standing on a playground,1.9912283
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,Three women are posing together in front of a Christmas tree .,1.7242601
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,A happy child dangling from playground equipment smiles at the camera .,2.004725
http://134.100.15.200/flickr8k/Images/1248940539_46d33ed487.jpg,An older couple posing in front of a fountain for a picture,1.3388395
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,A crowd of people at an outdoor event,1.834905
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,a young man jumping a back flip off of a concrete wall .,1.3043927
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,A man and a woman are walking past a car with a fancy symbol on the front .,1.3352484
http://134.100.15.200/flickr8k/Images/1258913059_07c613f7ff.jpg,A woman is reading literature and sitting on the front stoop of a building .,1.9078381
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A man wearing a dark blue hat sits on the ground and leans against a building .,1.3864427
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A young child is riding a purple bike .,1.9405801
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A kid in a blue top leaps into a raked pile of leaves in front of trees .,1.3076959
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A little boy with a blue helmet rides his bike with his feet on the handlebars .,1.880296
http://134.100.15.200/flickr8k/Images/1262583859_653f1469a9.jpg,A cyclist in a helmet and yellow jersey .,2.7156436
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,A furry dog attempts to dry itself by shaking the water off its coat .,1.9399854
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,A brown dog shaking off water .,1.9568447
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,The large brown dog is chasing after the little brown dog .,1.7584867
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,A dog running with a blue toy in its mouth .,2.2695131
http://134.100.15.200/flickr8k/Images/1267711451_e2a754b4f8.jpg,Two dogs run down a dirt path in the forest .,2.224179
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,"The guy in the blue and white jersey is running , and the guy in the red and white jersey is falling .",1.3789966
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,"A dog in a grassy field , looking up .",1.6958965
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,A dog fetches a ball in a field .,1.3998094
http://134.100.15.200/flickr8k/Images/127488876_f2d2a89588.jpg,A group of five adults stand posing in front of buildings .,1.3892841
http://134.100.15.200/flickr8k/Images/127490019_7c5c08cb11.jpg,A group of five adults stand posing in front of buildings .,1.2975473
http://134.100.15.200/flickr8k/Images/127490019_7c5c08cb11.jpg,People are standing around a scenic lookout on a sunny day .,2.2171483
http://134.100.15.200/flickr8k/Images/127490019_7c5c08cb11.jpg,A woman holds a fat baby with sunglasses and a denim hat .,1.453578
http://134.100.15.200/flickr8k/Images/1282392036_5a0328eb86.jpg,A woman with holding a young girl playing with bubbles at a picnic .,1.8714787
